Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
119,2021,Chase Daniel (LAC),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.1%
57,2020,Chase Daniel (LAC),29,43,67.4,264,6.1,1,2,3,2,16,0,0,4,14.2,3.6,0.1%
46,2019,Chase Daniel (LAC),45,64,70.3,435,6.8,3,2,7,6,6,0,0,5,28.0,5.6,0.1%
45,2018,Chase Daniel (LAC),53,76,69.7,515,6.8,3,2,9,13,3,0,0,5,29.7,5.9,0.1%
71,2017,Chase Daniel (LAC),0,0,0,0,0,0,0,0,3,-2,0,0,1,-0.2,-0.2,0.1%
63,2016,Chase Daniel (LAC),1,1,100.0,16,16.0,0,0,0,0,0,0,0,1,0.6,0.6,0.1%
69,2015,Chase Daniel (LAC),2,2,100.0,4,2.0,0,0,0,2,-2,0,0,2,0.0,0.0,0.1%
55,2014,Chase Daniel (LAC),16,28,57.1,157,5.6,0,0,4,4,15,0,0,3,7.8,2.6,0.1%
47,2013,Chase Daniel (LAC),25,38,65.8,248,6.5,1,1,2,14,52,0,0,5,17.1,3.4,0.1%
57,2012,Chase Daniel (LAC),1,1,100.0,10,10.0,0,0,0,3,17,0,0,16,2.1,0.1,0.1%
67,2011,Chase Daniel (LAC),4,5,80.0,29,5.8,0,0,0,3,-3,0,0,16,0.9,0.1,0.1%
63,2010,Chase Daniel (LAC),2,3,66.7,16,5.3,0,0,1,2,16,0,0,13,2.2,0.2,0.1%
