Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
62,2012,David Carr (FA),2,3,66.7,19,6.3,0,0,1,3,-3,0,0,2,0.5,0.3,0.0%
70,2010,David Carr (FA),5,13,38.5,67,5.2,0,1,1,0,0,0,0,1,0.7,0.7,0.0%
48,2009,David Carr (FA),21,33,63.6,225,6.8,1,0,2,9,27,1,0,6,21.7,3.6,0.0%
45,2008,David Carr (FA),9,12,75.0,115,9.6,2,0,1,8,10,0,0,3,13.6,4.5,0.0%
42,2007,David Carr (FA),73,136,53.7,635,4.7,3,5,13,17,59,0,0,6,33.3,5.6,0.0%
20,2006,David Carr (FA),302,442,68.3,"2,767",6.3,11,12,41,53,195,2,0,16,164.1,10.3,0.0%
17,2005,David Carr (FA),256,423,60.5,"2,488",5.9,14,11,68,56,308,1,0,16,172.3,10.8,0.0%
14,2004,David Carr (FA),285,466,61.2,"3,531",7.6,16,14,49,73,299,0,2,16,203.1,12.7,0.0%
26,2003,David Carr (FA),167,295,56.6,"2,013",6.8,9,13,15,27,151,2,0,12,117.6,9.8,0.0%
24,2002,David Carr (FA),233,444,52.5,"2,592",5.8,9,15,76,59,282,3,7,16,146.0,9.1,0.0%
