Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
83,2021,DeSean Jackson (FA),20,34,454,22.7,75,19,2,1,4,0,1,14,55.8,4.0,5.0%
115,2020,DeSean Jackson (FA),14,26,236,16.9,81,6,1,1,12,0,0,5,30.8,6.2,5.0%
115,2019,DeSean Jackson (FA),9,10,159,17.7,53,8,2,0,0,0,0,3,27.9,9.3,5.0%
32,2018,DeSean Jackson (FA),41,74,774,18.9,75,28,4,6,29,1,0,12,110.3,9.2,5.0%
45,2017,DeSean Jackson (FA),50,90,668,13.4,41,10,3,3,38,0,0,14,88.6,6.3,5.0%
31,2016,DeSean Jackson (FA),56,100,"1,005",17.9,80,19,4,0,0,0,0,15,124.5,8.3,5.0%
59,2015,DeSean Jackson (FA),30,49,528,17.6,77,10,4,0,0,0,1,9,74.8,8.3,5.0%
16,2014,DeSean Jackson (FA),56,95,"1,169",20.9,81,16,6,4,7,0,0,15,153.6,10.2,5.0%
10,2013,DeSean Jackson (FA),82,125,"1,332",16.2,61,25,9,3,2,0,0,16,187.4,11.7,5.0%
60,2012,DeSean Jackson (FA),45,88,700,15.6,77,9,2,3,-7,0,0,11,81.3,7.4,5.0%
27,2011,DeSean Jackson (FA),58,104,961,16.6,62,0,4,7,41,0,1,15,122.2,8.1,5.0%
14,2010,DeSean Jackson (FA),47,96,"1,056",22.5,91,0,6,16,104,1,1,14,156.0,11.1,5.0%
4,2009,DeSean Jackson (FA),62,116,"1,156",18.6,71,0,9,11,137,1,1,15,187.3,12.5,5.0%
23,2008,DeSean Jackson (FA),62,28,912,14.7,60,0,2,17,96,1,0,16,116.8,7.3,5.0%
