Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
35,2011,Donovan McNabb (FA),94,156,60.3,"1,026",6.6,4,2,16,14,59,1,0,6,65.0,10.8,0.0%
21,2010,Donovan McNabb (FA),275,472,58.3,"3,377",7.2,14,15,37,29,151,0,1,13,173.9,13.4,0.0%
10,2009,Donovan McNabb (FA),267,443,60.3,"3,553",8.0,22,10,35,37,140,2,3,14,234.3,16.7,0.0%
17,2008,Donovan McNabb (FA),250,425,58.8,"2,816",6.6,17,9,13,29,131,2,1,12,185.8,15.5,0.0%
16,2007,Donovan McNabb (FA),172,287,59.9,"2,044",7.1,9,4,28,21,70,0,0,8,116.7,14.6,0.0%
10,2006,Donovan McNabb (FA),180,316,57.0,"2,647",8.4,18,6,21,32,212,3,0,10,205.1,20.5,0.0%
20,2005,Donovan McNabb (FA),211,357,59.1,"2,507",7.0,16,9,19,25,55,1,0,9,159.9,17.8,0.0%
3,2004,Donovan McNabb (FA),300,469,64.0,"3,875",8.3,31,8,32,41,220,3,6,15,291.1,19.4,0.0%
10,2003,Donovan McNabb (FA),275,478,57.5,"3,216",6.7,16,11,43,71,355,3,3,16,217.4,13.6,0.0%
11,2002,Donovan McNabb (FA),211,361,58.4,"2,289",6.3,17,6,28,63,460,6,5,10,223.7,22.4,0.0%
