Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
138,2019,Ed Dickson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
38,2018,Ed Dickson (FA),12,13,143,11.9,42,4,3,1,9,0,0,10,33.2,3.3,0.0%
28,2017,Ed Dickson (FA),30,48,437,14.6,64,7,1,0,0,0,0,16,49.7,3.1,0.0%
57,2016,Ed Dickson (FA),10,19,134,13.4,28,3,1,0,0,0,0,16,19.4,1.2,0.0%
47,2015,Ed Dickson (FA),17,26,121,7.1,17,0,2,0,0,0,0,16,24.1,1.5,0.0%
59,2014,Ed Dickson (FA),10,17,115,11.5,34,1,1,0,0,0,0,16,17.5,1.1,0.0%
46,2013,Ed Dickson (FA),25,43,273,10.9,43,2,1,0,0,0,0,16,33.3,2.1,0.0%
51,2012,Ed Dickson (FA),21,33,225,10.7,40,2,0,0,0,0,0,13,22.5,1.7,0.0%
20,2011,Ed Dickson (FA),54,89,528,9.8,25,0,5,0,0,0,0,16,82.8,5.2,0.0%
53,2010,Ed Dickson (FA),11,23,152,13.8,58,0,1,0,0,0,0,15,21.2,1.4,0.0%
