Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
46,2020,Frank Gore (FA),187,653,3.5,17,0,2,16,19,89,5.6,0,1,15,84.2,5.6,12.1%
46,2019,Frank Gore (FA),166,599,3.6,41,6,2,13,16,100,7.7,0,0,16,81.9,5.1,12.1%
41,2018,Frank Gore (FA),156,722,4.6,39,8,0,12,16,124,10.3,1,0,14,90.6,6.5,12.1%
18,2017,Frank Gore (FA),261,961,3.7,21,1,3,29,38,245,8.4,1,0,16,144.6,9.0,12.1%
12,2016,Frank Gore (FA),263,"1,025",3.9,22,1,4,38,47,277,7.3,4,1,16,176.2,11.0,12.1%
12,2015,Frank Gore (FA),260,967,3.7,37,5,6,34,58,267,7.9,1,3,16,159.4,10.0,12.1%
17,2014,Frank Gore (FA),255,"1,106",4.3,52,5,4,11,19,111,10.1,1,2,16,147.7,9.2,12.1%
13,2013,Frank Gore (FA),276,"1,128",4.1,51,9,9,16,26,141,8.8,0,3,16,174.9,10.9,12.1%
11,2012,Frank Gore (FA),258,"1,214",4.7,37,7,8,28,36,234,8.4,1,1,16,196.8,12.3,12.1%
12,2011,Frank Gore (FA),282,"1,211",4.3,55,0,8,17,31,114,6.7,0,2,16,176.5,11.0,12.1%
19,2010,Frank Gore (FA),203,853,4.2,64,0,3,46,72,452,9.8,2,2,11,156.5,14.2,12.1%
6,2009,Frank Gore (FA),229,"1,120",4.9,80,0,10,52,75,406,7.8,3,2,14,226.6,16.2,12.1%
10,2008,Frank Gore (FA),240,"1,036",4.3,41,0,6,43,9,373,8.7,2,0,14,188.9,13.5,12.1%
3,2007,Frank Gore (FA),260,"1,102",4.2,43,0,5,53,2,436,8.2,1,0,15,189.8,12.7,12.1%
4,2006,Frank Gore (FA),312,"1,695",5.4,72,0,8,61,0,485,8.0,1,0,16,272.0,17.0,12.1%
37,2005,Frank Gore (FA),127,608,4.8,72,0,3,15,2,131,8.7,0,0,14,91.9,6.6,12.1%
