Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
80,2020,Joe Webb III (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
73,2019,Joe Webb III (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
61,2018,Joe Webb III (FA),0,0,0,0,0,0,0,0,0,0,0,0,16,1.3,0.1,0.0%
58,2017,Joe Webb III (FA),2,7,28.6,35,5.0,0,1,0,8,54,0,0,16,4.8,0.3,0.0%
65,2016,Joe Webb III (FA),0,0,0,0,0,0,0,0,0,0,0,0,14,0.3,0.0,0.0%
71,2015,Joe Webb III (FA),0,0,0,0,0,0,0,0,1,-1,0,0,16,-0.1,-0.0,0.0%
62,2014,Joe Webb III (FA),0,0,0,0,0,0,0,0,0,0,0,0,7,1.6,0.2,0.0%
56,2013,Joe Webb III (FA),0,0,0,0,0,0,0,0,0,0,0,0,16,3.3,0.2,0.0%
64,2012,Joe Webb III (FA),0,0,0,0,0,0,0,0,1,-1,0,0,1,-0.1,-0.1,0.0%
39,2011,Joe Webb III (FA),34,63,54.0,376,6.0,3,2,3,22,154,2,1,11,49.4,4.5,0.0%
42,2010,Joe Webb III (FA),54,89,60.7,477,5.4,0,3,8,18,120,2,0,5,37.1,7.4,0.0%
