Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
242,2019,Jordy Nelson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
49,2018,Jordy Nelson (FA),63,88,739,11.7,66,15,3,1,-2,0,0,15,93.7,6.2,0.1%
50,2017,Jordy Nelson (FA),53,88,482,9.1,58,4,6,0,0,0,0,15,84.2,5.6,0.1%
2,2016,Jordy Nelson (FA),97,152,"1,257",13.0,60,19,14,0,0,0,1,16,207.7,13.0,0.1%
3,2014,Jordy Nelson (FA),98,151,"1,519",15.5,80,19,13,0,0,0,0,16,229.9,14.4,0.1%
11,2013,Jordy Nelson (FA),85,127,"1,314",15.5,76,22,8,0,0,0,0,16,179.4,11.2,0.1%
29,2012,Jordy Nelson (FA),49,73,745,15.2,73,8,7,0,0,0,0,12,118.5,9.9,0.1%
2,2011,Jordy Nelson (FA),68,96,"1,263",18.6,93,0,15,0,0,0,0,16,216.3,13.5,0.1%
72,2010,Jordy Nelson (FA),45,64,582,12.9,80,0,2,0,0,0,3,16,64.2,4.0,0.1%
88,2009,Jordy Nelson (FA),22,31,320,14.5,51,0,2,0,0,0,1,13,42.0,3.2,0.1%
71,2008,Jordy Nelson (FA),33,0,366,11.1,29,0,2,0,0,0,0,16,48.6,3.0,0.1%
