Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
34,2016,Josh Brown (FA),11,12,91.7,48,1,3,3,4,0,9,9,5,46.0,9.2,0.0%
5,2015,Josh Brown (FA),30,32,93.8,53,1,6,12,8,3,44,45,16,148.0,9.3,0.0%
16,2014,Josh Brown (FA),24,26,92.3,53,1,6,9,4,4,44,44,16,128.0,8.0,0.0%
29,2013,Josh Brown (FA),23,26,88.5,52,0,8,7,7,1,31,31,16,109.0,6.8,0.0%
32,2012,Josh Brown (FA),11,12,91.7,52,0,3,4,3,1,8,8,4,46.0,11.5,0.0%
26,2011,Josh Brown (FA),21,28,75.0,49,0,7,6,8,0,18,18,16,89.0,5.6,0.0%
5,2010,Josh Brown (FA),33,39,84.6,53,0,9,8,5,2,26,27,16,107.0,6.7,0.0%
30,2009,Josh Brown (FA),19,24,79.2,55,0,0,0,0,0,16,16,16,21.4,1.3,0.0%
30,2008,Josh Brown (FA),31,36,86.1,54,0,0,0,0,0,15,15,16,15.0,0.9,0.0%
15,2007,Josh Brown (FA),28,34,82.4,54,0,0,0,0,0,17,17,16,17.0,1.1,0.0%
12,2006,Josh Brown (FA),25,31,80.6,54,0,0,0,0,0,36,36,16,36.0,2.3,0.0%
1,2005,Josh Brown (FA),18,25,72.0,55,0,0,0,0,0,56,56,16,56.0,3.5,0.0%
11,2004,Josh Brown (FA),23,25,92.0,54,0,0,0,0,0,40,40,16,40.0,2.5,0.0%
4,2003,Josh Brown (FA),22,30,73.3,58,0,0,0,0,0,48,48,16,48.0,3.0,0.0%
