Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
98,2020,Larry Fitzgerald (FA),54,72,409,7.6,18,0,1,0,0,0,0,13,46.9,3.6,0.1%
42,2019,Larry Fitzgerald (FA),75,109,804,10.7,54,19,4,0,0,0,1,16,102.4,6.4,0.1%
28,2018,Larry Fitzgerald (FA),69,112,734,10.6,37,10,6,0,0,0,0,16,116.7,7.3,0.1%
9,2017,Larry Fitzgerald (FA),109,161,"1,156",10.6,37,16,6,0,0,0,1,16,152.4,9.5,0.1%
17,2016,Larry Fitzgerald (FA),107,150,"1,023",9.6,32,8,6,2,5,0,1,16,136.8,8.6,0.1%
11,2015,Larry Fitzgerald (FA),109,145,"1,215",11.1,44,17,9,0,0,0,2,16,171.5,10.7,0.1%
55,2014,Larry Fitzgerald (FA),63,104,784,12.4,80,11,2,0,0,0,1,14,88.4,6.3,0.1%
16,2013,Larry Fitzgerald (FA),82,134,954,11.6,75,11,10,2,8,0,1,16,154.2,9.6,0.1%
42,2012,Larry Fitzgerald (FA),71,156,798,11.2,37,9,4,0,0,0,0,16,103.8,6.5,0.1%
5,2011,Larry Fitzgerald (FA),80,154,"1,411",17.6,73,0,8,0,0,0,0,16,189.1,11.8,0.1%
16,2010,Larry Fitzgerald (FA),90,173,"1,137",12.6,41,0,6,0,0,0,0,16,151.7,9.5,0.1%
5,2009,Larry Fitzgerald (FA),97,153,"1,092",11.3,34,0,13,0,0,0,0,16,187.2,11.7,0.1%
1,2008,Larry Fitzgerald (FA),96,19,"1,431",14.9,78,0,12,0,0,0,0,16,215.1,13.4,0.1%
3,2007,Larry Fitzgerald (FA),100,8,"1,409",14.1,48,0,10,0,0,0,1,15,198.9,13.3,0.1%
23,2006,Larry Fitzgerald (FA),69,0,946,13.7,57,0,6,0,0,0,0,13,130.6,10.0,0.1%
2,2005,Larry Fitzgerald (FA),103,0,"1,409",13.7,47,0,10,8,41,0,0,16,205.0,12.8,0.1%
29,2004,Larry Fitzgerald (FA),58,115,780,13.4,48,0,8,8,14,0,0,16,127.4,8.0,0.1%
