Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
53,2015,Luke McCown (FA),32,39,82.1,335,8.6,0,1,1,0,0,0,0,8,11.4,1.4,0.0%
70,2014,Luke McCown (FA),0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
66,2013,Luke McCown (FA),0,1,0.0,0,0.0,0,0,0,3,-4,0,0,16,-0.4,-0.0,0.0%
65,2012,Luke McCown (FA),0,0,0,0,0,0,0,0,2,-3,0,0,2,-0.3,-0.2,0.0%
60,2011,Luke McCown (FA),30,56,53.6,296,5.3,0,4,4,7,23,0,1,4,4.2,1.1,0.0%
60,2010,Luke McCown (FA),11,19,57.9,120,6.3,0,0,0,1,4,0,0,1,5.2,5.2,0.0%
66,2009,Luke McCown (FA),1,3,33.3,2,0.7,0,0,2,0,0,0,0,3,0.1,0.0,0.0%
61,2008,Luke McCown (FA),0,1,0.0,0,0.0,0,0,0,3,15,0,0,2,1.5,0.8,0.0%
27,2007,Luke McCown (FA),94,139,67.6,"1,009",7.3,5,3,15,12,117,0,0,5,66.0,13.2,0.0%
45,2004,Luke McCown (FA),48,98,49.0,608,6.2,4,7,12,6,25,0,0,5,30.8,6.2,0.0%
