Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
64,2015,Malcom Floyd (FA),30,69,561,18.7,70,10,3,0,0,0,1,15,72.1,4.8,0.0%
30,2014,Malcom Floyd (FA),52,92,856,16.5,59,13,6,0,0,0,0,16,121.6,7.6,0.0%
127,2013,Malcom Floyd (FA),6,11,149,24.8,47,3,0,0,0,0,0,2,14.9,7.5,0.0%
36,2012,Malcom Floyd (FA),56,85,814,14.5,39,15,5,0,0,0,0,14,111.4,8.0,0.0%
30,2011,Malcom Floyd (FA),43,70,856,19.9,52,0,5,0,0,0,0,12,115.6,9.6,0.0%
36,2010,Malcom Floyd (FA),37,77,717,19.4,55,0,6,0,0,0,0,11,107.7,9.8,0.0%
52,2009,Malcom Floyd (FA),45,76,776,17.2,53,0,1,0,0,0,0,16,83.6,5.2,0.0%
47,2008,Malcom Floyd (FA),27,0,465,17.2,49,0,4,0,0,0,0,13,70.5,5.4,0.0%
108,2007,Malcom Floyd (FA),7,0,97,13.9,25,0,0,0,0,0,0,6,9.7,1.6,0.0%
89,2006,Malcom Floyd (FA),15,0,210,14.0,46,0,3,0,0,0,0,12,39.0,3.3,0.0%
129,2004,Malcom Floyd (FA),3,9,49,16.3,27,0,1,0,0,0,0,3,10.9,3.6,0.0%
