Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
83,2020,Matt Schaub (FA),0,0,0,0,0,0,0,0,3,-4,0,0,1,-0.4,-0.4,0.0%
45,2019,Matt Schaub (FA),50,67,74.6,580,8.7,3,1,2,3,-3,0,1,7,33.9,4.8,0.0%
65,2018,Matt Schaub (FA),5,7,71.4,20,2.9,0,0,0,1,0,0,0,3,0.1,0.0,0.0%
64,2016,Matt Schaub (FA),1,3,33.3,16,5.3,0,0,0,2,-2,0,0,4,0.4,0.1,0.0%
48,2015,Matt Schaub (FA),52,80,65.0,540,6.8,3,4,3,4,10,0,0,2,26.6,13.3,0.0%
75,2014,Matt Schaub (FA),5,10,50.0,57,5.7,0,2,3,0,0,0,1,11,-3.7,-0.3,0.0%
33,2013,Matt Schaub (FA),219,358,61.2,"2,310",6.5,10,14,21,5,24,0,1,10,104.7,10.5,0.0%
19,2012,Matt Schaub (FA),350,544,64.3,"4,008",7.4,22,12,27,21,-9,0,0,16,222.8,13.9,0.0%
21,2011,Matt Schaub (FA),178,292,61.0,"2,479",8.5,15,6,16,15,9,2,1,10,158.0,15.8,0.0%
9,2010,Matt Schaub (FA),365,574,63.6,"4,370",7.6,24,12,32,22,28,0,3,16,245.6,15.4,0.0%
4,2009,Matt Schaub (FA),396,583,67.9,"4,770",8.2,29,15,25,48,57,0,2,16,280.5,17.5,0.0%
18,2008,Matt Schaub (FA),251,380,66.1,"3,043",8.0,15,10,23,31,68,2,1,11,180.7,16.4,0.0%
18,2007,Matt Schaub (FA),192,289,66.4,"2,241",7.8,9,9,16,17,52,0,0,11,112.9,10.3,0.0%
55,2006,Matt Schaub (FA),18,27,66.7,208,7.7,1,2,2,7,21,0,0,15,10.4,0.7,0.0%
42,2005,Matt Schaub (FA),33,64,51.6,495,7.7,4,0,6,9,76,0,0,13,49.4,3.8,0.0%
55,2004,Matt Schaub (FA),33,70,47.1,330,4.7,1,4,4,8,26,0,0,6,11.8,2.0,0.0%
