Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
47,2015,Michael Vick (FA),40,66,60.6,371,5.6,2,1,10,20,99,0,0,5,30.7,6.1,0.1%
43,2014,Michael Vick (FA),64,121,52.9,604,5.0,3,2,19,26,153,0,2,10,43.4,4.3,0.1%
35,2013,Michael Vick (FA),77,141,54.6,"1,215",8.6,5,3,15,36,306,2,2,7,100.9,14.4,0.1%
27,2012,Michael Vick (FA),204,351,58.1,"2,362",6.7,12,10,28,62,332,1,5,10,151.6,15.2,0.1%
11,2011,Michael Vick (FA),253,423,59.8,"3,303",7.8,18,14,23,76,589,1,4,13,233.0,17.9,0.1%
1,2010,Michael Vick (FA),233,372,62.6,"3,018",8.1,21,6,34,100,676,9,3,12,310.3,25.9,0.1%
46,2009,Michael Vick (FA),6,13,46.2,86,6.6,1,0,0,24,95,2,0,12,28.9,2.4,0.1%
2,2006,Michael Vick (FA),204,388,52.6,"2,474",6.4,20,13,45,123,"1,039",2,0,16,269.1,16.8,0.1%
6,2005,Michael Vick (FA),214,387,55.3,"2,412",6.2,15,13,33,102,597,6,1,15,224.6,15.0,0.1%
12,2004,Michael Vick (FA),181,321,56.4,"2,313",7.2,14,12,46,120,902,3,7,15,218.8,14.6,0.1%
38,2003,Michael Vick (FA),50,100,50.0,585,5.9,4,3,9,40,255,1,1,5,63.0,12.6,0.1%
3,2002,Michael Vick (FA),231,421,54.9,"2,936",7.0,16,8,33,113,777,8,6,15,280.8,18.7,0.1%
