Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
121,2014,Mike Williams (FA),8,19,142,17.8,80,2,1,0,0,0,0,9,20.2,2.2,0.0%
109,2013,Mike Williams (FA),22,40,216,9.8,28,1,2,0,0,0,0,6,33.6,5.6,0.0%
17,2012,Mike Williams (FA),63,126,996,15.8,65,17,9,0,0,0,0,16,154.7,9.7,0.0%
50,2011,Mike Williams (FA),65,124,771,11.9,42,0,3,1,3,0,2,16,91.4,5.7,0.0%
111,2011,Mike Williams (FA),18,38,236,13.1,55,0,1,0,0,0,0,12,29.6,2.5,0.0%
12,2010,Mike Williams (FA),65,129,964,14.8,58,0,11,0,0,0,2,16,158.4,9.9,0.0%
49,2010,Mike Williams (FA),65,110,751,11.6,68,0,2,1,0,0,0,13,87.1,6.7,0.0%
110,2007,Mike Williams (FA),7,0,90,12.9,24,0,0,0,0,0,0,5,9.0,1.8,0.0%
111,2006,Mike Williams (FA),8,0,99,12.4,21,0,1,0,0,0,0,5,15.9,3.2,0.0%
88,2005,Mike Williams (FA),29,11,350,12.1,49,0,1,0,0,0,0,13,41.0,3.2,0.0%
