Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
50,2015,Nate Washington (FA),47,94,658,14.0,49,9,4,0,0,0,0,14,89.8,6.4,0.0%
61,2014,Nate Washington (FA),40,72,647,16.2,80,11,2,0,0,0,0,16,76.7,4.8,0.0%
37,2013,Nate Washington (FA),58,104,919,15.8,77,11,3,0,0,0,0,16,109.9,6.9,0.0%
45,2012,Nate Washington (FA),46,90,746,16.2,71,14,4,0,0,0,0,16,98.6,6.2,0.0%
16,2011,Nate Washington (FA),74,121,"1,023",13.8,57,0,7,2,5,1,0,16,150.8,9.4,0.0%
38,2010,Nate Washington (FA),42,94,687,16.4,71,0,6,1,-8,0,0,16,103.9,6.5,0.0%
40,2009,Nate Washington (FA),47,95,569,12.1,35,0,6,2,15,0,0,16,94.4,5.9,0.0%
38,2008,Nate Washington (FA),40,7,631,15.8,65,0,3,5,18,0,0,16,82.9,5.2,0.0%
35,2007,Nate Washington (FA),29,0,450,15.5,40,0,5,1,0,0,0,16,75.0,4.7,0.0%
46,2006,Nate Washington (FA),35,0,624,17.8,49,0,4,3,8,0,0,16,87.2,5.5,0.0%
181,2005,Nate Washington (FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
