Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
71,2021,Ryan Fitzpatrick (FA),3,6,50.0,13,2.2,0,0,1,1,2,0,0,1,0.7,0.7,0.0%
28,2020,Ryan Fitzpatrick (FA),183,267,68.5,"2,091",7.8,13,8,14,30,151,2,0,10,160.7,16.1,0.0%
16,2019,Ryan Fitzpatrick (FA),311,502,62.0,"3,529",7.0,20,13,40,54,243,4,2,15,254.7,17.0,0.0%
28,2018,Ryan Fitzpatrick (FA),164,246,66.7,"2,366",9.6,17,12,14,36,152,2,1,8,165.8,20.7,0.0%
35,2017,Ryan Fitzpatrick (FA),96,163,58.9,"1,103",6.8,7,3,7,15,78,0,0,6,73.9,12.3,0.0%
29,2016,Ryan Fitzpatrick (FA),228,403,56.6,"2,710",6.7,12,17,19,33,130,0,1,14,133.4,9.5,0.0%
11,2015,Ryan Fitzpatrick (FA),335,562,59.6,"3,905",6.9,31,15,19,60,270,2,2,16,285.1,17.8,0.0%
21,2014,Ryan Fitzpatrick (FA),197,312,63.1,"2,483",8.0,17,8,21,50,184,2,1,12,179.8,15.0,0.0%
24,2013,Ryan Fitzpatrick (FA),217,350,62.0,"2,454",7.0,14,12,21,43,225,3,2,11,166.6,15.1,0.0%
20,2012,Ryan Fitzpatrick (FA),306,505,60.6,"3,400",6.7,24,16,30,48,197,1,6,16,213.7,13.4,0.0%
12,2011,Ryan Fitzpatrick (FA),353,569,62.0,"3,832",6.7,24,23,22,56,215,0,2,16,222.8,13.9,0.0%
19,2010,Ryan Fitzpatrick (FA),255,441,57.8,"3,000",6.8,23,15,24,40,269,0,5,13,198.8,15.3,0.0%
28,2009,Ryan Fitzpatrick (FA),127,227,55.9,"1,422",6.3,9,10,21,31,141,1,2,10,88.8,8.9,0.0%
24,2008,Ryan Fitzpatrick (FA),221,372,59.4,"1,905",5.1,8,9,38,60,304,2,0,13,132.4,10.2,0.0%
68,2007,Ryan Fitzpatrick (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
72,2006,Ryan Fitzpatrick (FA),0,0,0,0,0,0,0,0,3,0,0,0,1,0.0,0.0,0.0%
41,2005,Ryan Fitzpatrick (FA),76,135,56.3,777,5.8,4,8,9,14,64,2,0,4,49.5,12.4,0.0%
