Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
50,2016,Shaun Hill (FA),19,35,54.3,242,6.9,0,0,1,5,5,0,0,3,10.1,3.4,0.0%
68,2015,Shaun Hill (FA),2,7,28.6,15,2.1,0,0,1,4,-5,0,0,3,0.1,0.0,0.0%
34,2014,Shaun Hill (FA),145,229,63.3,"1,657",7.2,8,7,18,10,10,1,1,9,89.2,9.9,0.0%
65,2013,Shaun Hill (FA),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.0%
44,2012,Shaun Hill (FA),10,13,76.9,172,13.2,2,0,0,1,-1,0,0,1,14.8,14.8,0.0%
65,2011,Shaun Hill (FA),2,3,66.7,33,11.0,0,0,0,1,-1,0,0,2,1.2,0.6,0.0%
22,2010,Shaun Hill (FA),257,416,61.8,"2,686",6.5,16,12,17,22,123,0,1,11,159.7,14.5,0.0%
36,2009,Shaun Hill (FA),87,155,56.1,943,6.1,5,2,18,8,70,0,1,6,58.8,9.8,0.0%
22,2008,Shaun Hill (FA),181,288,62.8,"2,046",7.1,13,8,23,24,115,2,0,9,141.2,15.7,0.0%
37,2007,Shaun Hill (FA),54,79,68.4,501,6.3,5,1,6,12,14,1,0,3,45.4,15.1,0.0%
79,2005,Shaun Hill (FA),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.0%
