Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
21,2020,Stephen Gostkowski (FA),18,26,69.2,55,0,2,4,5,7,46,48,15,119.0,7.9,0.1%
36,2019,Stephen Gostkowski (FA),7,8,87.5,41,0,2,3,1,0,11,15,4,30.0,7.5,0.1%
10,2018,Stephen Gostkowski (FA),27,32,84.4,52,0,11,10,4,2,49,50,16,138.0,8.6,0.1%
2,2017,Stephen Gostkowski (FA),37,40,92.5,62,0,16,9,8,4,45,47,16,172.0,10.8,0.1%
10,2016,Stephen Gostkowski (FA),27,32,84.4,53,0,9,7,9,2,46,49,16,140.0,8.8,0.1%
1,2015,Stephen Gostkowski (FA),33,36,91.7,57,0,6,11,12,4,52,52,16,171.0,10.7,0.1%
1,2014,Stephen Gostkowski (FA),35,37,94.6,53,1,11,10,12,1,51,51,16,170.0,10.6,0.1%
1,2013,Stephen Gostkowski (FA),38,41,92.7,54,1,8,13,11,5,44,44,16,179.0,11.2,0.1%
2,2012,Stephen Gostkowski (FA),29,35,82.9,53,0,8,10,9,2,66,66,16,166.0,10.4,0.1%
2,2011,Stephen Gostkowski (FA),28,33,84.8,50,1,12,5,9,1,59,59,16,154.0,9.6,0.1%
26,2010,Stephen Gostkowski (FA),10,13,76.9,43,0,2,3,1,0,26,26,8,45.0,5.6,0.1%
5,2009,Stephen Gostkowski (FA),26,31,83.9,53,0,0,0,0,0,47,47,16,47.0,2.9,0.1%
3,2008,Stephen Gostkowski (FA),36,40,90.0,50,0,0,0,0,0,36,36,16,36.0,2.3,0.1%
1,2007,Stephen Gostkowski (FA),21,24,87.5,45,0,0,0,0,0,46,46,16,46.0,2.9,0.1%
5,2006,Stephen Gostkowski (FA),20,26,76.9,52,0,0,0,0,0,43,43,16,43.0,2.7,0.1%
