Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
186,2020,Ted Ginn Jr. (FA),3,6,40,13.3,29,1,0,0,0,0,0,5,4.0,0.8,0.0%
78,2019,Ted Ginn Jr. (FA),30,56,421,14.0,45,13,2,3,18,0,0,16,55.9,3.5,0.0%
108,2018,Ted Ginn Jr. (FA),17,30,209,12.3,42,5,2,3,26,0,1,5,35.5,7.1,0.0%
35,2017,Ted Ginn Jr. (FA),53,70,787,14.8,54,15,4,10,39,0,0,15,106.6,7.1,0.0%
48,2016,Ted Ginn Jr. (FA),54,95,752,13.9,88,9,4,14,98,0,2,16,105.0,6.6,0.0%
26,2015,Ted Ginn Jr. (FA),44,96,739,16.8,74,10,10,4,60,0,0,15,139.9,9.3,0.0%
122,2014,Ted Ginn Jr. (FA),14,26,190,13.6,27,3,0,3,6,0,0,16,20.0,1.3,0.0%
52,2013,Ted Ginn Jr. (FA),36,68,556,15.4,47,10,5,4,29,0,0,16,88.5,5.5,0.0%
222,2012,Ted Ginn Jr. (FA),2,2,1,0.5,1,0,0,1,7,0,1,13,-1.2,-0.1,0.0%
114,2011,Ted Ginn Jr. (FA),19,33,220,11.6,26,0,0,8,68,0,0,14,28.8,2.1,0.0%
114,2010,Ted Ginn Jr. (FA),12,35,163,13.6,37,0,1,2,11,0,0,13,23.4,1.8,0.0%
76,2009,Ted Ginn Jr. (FA),38,78,454,11.9,53,0,1,7,48,0,0,16,56.2,3.5,0.0%
26,2008,Ted Ginn Jr. (FA),56,5,790,14.1,64,0,2,5,73,2,0,16,110.3,6.9,0.0%
47,2007,Ted Ginn Jr. (FA),34,0,420,12.4,54,0,2,4,3,0,0,16,54.3,3.4,0.0%
