Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
66,2012,Todd Heap (FA),8,13,94,11.8,28,1,0,0,0,0,0,2,9.4,4.7,0.0%
40,2011,Todd Heap (FA),24,36,283,11.8,28,0,1,0,0,0,0,8,34.3,4.3,0.0%
15,2010,Todd Heap (FA),40,64,599,15.0,65,0,5,0,0,0,0,13,89.9,6.9,0.0%
14,2009,Todd Heap (FA),53,75,593,11.2,31,0,6,1,2,0,0,16,95.5,6.0,0.0%
21,2008,Todd Heap (FA),32,8,366,11.4,30,0,3,0,0,0,0,13,54.6,4.2,0.0%
29,2007,Todd Heap (FA),19,0,201,10.6,37,0,1,0,0,0,0,4,26.1,6.5,0.0%
4,2006,Todd Heap (FA),73,0,765,10.5,30,0,6,0,0,0,0,16,112.5,7.0,0.0%
3,2005,Todd Heap (FA),75,7,855,11.4,48,0,7,0,0,0,0,16,127.5,8.0,0.0%
25,2004,Todd Heap (FA),27,44,303,11.2,37,0,3,0,0,0,0,6,48.3,8.1,0.0%
3,2003,Todd Heap (FA),57,112,693,12.2,33,0,3,3,21,0,0,16,97.4,6.1,0.0%
2,2002,Todd Heap (FA),68,122,836,12.3,43,0,6,4,38,0,0,16,125.4,7.8,0.0%
