Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
39,2017,Zach Miller (FA),20,35,236,11.8,29,4,2,0,0,0,0,8,35.6,4.5,0.0%
21,2016,Zach Miller (FA),47,64,486,10.3,34,5,4,0,0,0,0,10,72.6,7.3,0.0%
16,2015,Zach Miller (FA),34,46,439,12.9,87,7,5,0,0,0,0,15,73.9,4.9,0.0%
80,2014,Zach Miller (FA),6,7,76,12.7,24,2,0,0,0,0,0,3,7.6,2.5,0.0%
135,2014,Zach Miller (FA),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
22,2013,Zach Miller (FA),33,56,387,11.7,60,3,5,0,0,0,0,14,68.7,4.9,0.0%
135,2013,Zach Miller (FA),0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
30,2012,Zach Miller (FA),38,53,396,10.4,30,7,3,0,0,0,1,16,55.6,3.5,0.0%
129,2012,Zach Miller (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
46,2011,Zach Miller (FA),25,44,233,9.3,28,0,0,0,0,0,0,15,23.3,1.6,0.0%
65,2011,Zach Miller (FA),4,7,42,10.5,14,0,1,0,0,0,0,4,10.2,2.6,0.0%
11,2010,Zach Miller (FA),60,92,685,11.4,43,0,5,0,0,0,0,15,98.5,6.6,0.0%
42,2010,Zach Miller (FA),20,26,216,10.8,52,0,1,2,9,0,0,15,28.5,1.9,0.0%
12,2009,Zach Miller (FA),66,99,805,12.2,86,0,3,0,0,0,0,15,98.5,6.6,0.0%
38,2009,Zach Miller (FA),21,27,212,10.1,62,0,2,1,3,0,0,14,33.5,2.4,0.0%
9,2008,Zach Miller (FA),56,5,778,13.9,63,0,1,0,0,0,0,16,83.8,5.2,0.0%
11,2007,Zach Miller (FA),44,0,444,10.1,28,0,3,0,0,0,0,16,62.4,3.9,0.0%
