Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
127,2020,Anthony Sherman (FA),3,8,2.7,6,0,0,1,2,5,5.0,1,0,12,7.3,0.6,0.0%
127,2019,Anthony Sherman (FA),4,9,2.3,5,0,0,2,3,22,11.0,0,0,16,3.1,0.2,0.0%
93,2018,Anthony Sherman (FA),1,2,2.0,2,0,0,8,9,96,12.0,1,0,16,15.8,1.0,0.0%
100,2017,Anthony Sherman (FA),14,40,2.9,9,0,1,6,8,47,7.8,0,0,16,14.7,0.9,0.0%
153,2016,Anthony Sherman (FA),0,0,0,0,0,0,4,6,11,2.8,0,0,16,1.1,0.1,0.0%
139,2015,Anthony Sherman (FA),1,0,0.0,0,0,0,4,5,34,8.5,0,0,16,3.4,0.2,0.0%
107,2014,Anthony Sherman (FA),2,8,4.0,4,0,0,10,14,71,7.1,1,0,16,13.9,0.9,0.0%
92,2013,Anthony Sherman (FA),2,3,1.5,2,0,0,18,24,155,8.6,1,1,16,19.8,1.2,0.0%
133,2012,Anthony Sherman (FA),0,0,0,0,0,0,5,8,39,7.8,0,0,13,3.9,0.3,0.0%
120,2011,Anthony Sherman (FA),1,3,3.0,3,0,0,8,9,72,9.0,0,0,15,7.5,0.5,0.0%
