Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
46,2016,DeAngelo Williams (FA),98,343,3.5,17,0,4,18,27,118,6.6,2,0,9,82.1,9.1,0.1%
4,2015,DeAngelo Williams (FA),200,907,4.5,55,6,11,40,47,367,9.2,0,2,16,191.4,12.0,0.1%
90,2014,DeAngelo Williams (FA),62,219,3.5,17,0,0,5,6,44,8.8,0,1,6,24.3,4.1,0.1%
22,2013,DeAngelo Williams (FA),201,843,4.2,43,6,3,26,36,333,12.8,1,2,15,137.6,9.2,0.1%
23,2012,DeAngelo Williams (FA),173,737,4.3,65,5,5,13,20,187,14.4,2,2,16,130.4,8.2,0.1%
26,2011,DeAngelo Williams (FA),155,836,5.4,74,0,7,16,25,135,8.4,0,0,16,139.1,8.7,0.1%
62,2010,DeAngelo Williams (FA),87,361,4.1,39,0,1,11,13,61,5.5,0,1,6,46.2,7.7,0.1%
14,2009,DeAngelo Williams (FA),216,"1,117",5.2,77,0,7,29,41,252,8.7,0,3,13,174.9,13.5,0.1%
1,2008,DeAngelo Williams (FA),273,"1,515",5.5,69,0,18,22,3,121,5.5,2,0,16,285.6,17.9,0.1%
14,2007,DeAngelo Williams (FA),144,717,5.0,75,0,4,23,6,175,7.6,1,0,16,119.2,7.5,0.1%
41,2006,DeAngelo Williams (FA),121,501,4.1,31,0,1,33,0,313,9.5,1,0,13,93.4,7.2,0.1%
