Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
117,2011,Kevin Faulk (FA),17,57,3.4,9,0,0,7,9,34,4.9,0,0,6,9.1,1.5,0.0%
106,2010,Kevin Faulk (FA),8,45,5.6,11,0,0,6,10,62,10.3,0,0,2,10.7,5.4,0.0%
44,2009,Kevin Faulk (FA),62,335,5.4,29,0,2,37,53,301,8.1,1,0,15,81.6,5.4,0.0%
25,2008,Kevin Faulk (FA),79,485,6.1,41,0,3,52,13,430,8.3,3,0,13,127.4,9.8,0.0%
48,2007,Kevin Faulk (FA),40,185,4.6,14,0,0,25,0,210,8.4,1,0,9,45.5,5.1,0.0%
51,2006,Kevin Faulk (FA),25,123,4.9,11,0,1,43,0,356,8.3,2,0,15,65.9,4.4,0.0%
68,2005,Kevin Faulk (FA),51,145,2.8,13,0,0,29,0,260,9.0,0,0,8,40.5,5.1,0.0%
45,2004,Kevin Faulk (FA),54,255,4.7,20,0,2,26,30,248,9.5,1,1,11,66.3,6.0,0.0%
36,2003,Kevin Faulk (FA),178,638,3.6,23,0,0,48,66,440,9.2,0,4,15,99.8,6.7,0.0%
38,2002,Kevin Faulk (FA),52,271,5.2,45,0,2,37,53,379,10.2,3,1,15,93.0,6.2,0.0%
