Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
108,2019,Marshawn Lynch (FA),12,34,2.8,15,0,1,0,0,0,0,0,0,2,9.4,4.7,0.3%
56,2018,Marshawn Lynch (FA),90,376,4.2,52,4,3,15,20,84,5.6,0,0,6,64.0,10.7,0.3%
19,2017,Marshawn Lynch (FA),207,891,4.3,51,5,7,20,31,151,7.6,0,1,15,144.2,9.6,0.3%
56,2015,Marshawn Lynch (FA),111,417,3.8,24,1,3,13,21,80,6.2,0,0,7,69.7,10.0,0.3%
3,2014,Marshawn Lynch (FA),280,"1,306",4.7,79,7,13,37,48,367,9.9,4,2,16,265.3,16.6,0.3%
4,2013,Marshawn Lynch (FA),301,"1,257",4.2,43,6,12,36,44,316,8.8,2,1,16,239.3,15.0,0.3%
4,2012,Marshawn Lynch (FA),315,"1,590",5.0,77,9,11,23,30,196,8.5,1,2,16,246.6,15.4,0.3%
5,2011,Marshawn Lynch (FA),285,"1,204",4.2,47,0,12,28,41,212,7.6,1,2,15,215.6,14.4,0.3%
33,2010,Marshawn Lynch (FA),202,737,3.6,39,0,6,22,26,145,6.6,0,4,16,116.2,7.3,0.3%
49,2009,Marshawn Lynch (FA),120,450,3.8,47,0,2,28,37,179,6.4,0,1,13,72.9,5.6,0.3%
11,2008,Marshawn Lynch (FA),250,"1,036",4.1,50,0,8,47,6,300,6.4,1,0,15,187.6,12.5,0.3%
4,2007,Marshawn Lynch (FA),280,"1,115",4.0,56,0,7,18,2,184,10.2,0,0,13,176.2,13.6,0.3%
