Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
81,2017,Mike Tolbert (FA),66,247,3.7,25,1,1,14,17,78,5.6,0,1,12,36.5,3.0,0.0%
87,2016,Mike Tolbert (FA),35,114,3.3,14,0,0,10,15,72,7.2,1,0,16,24.6,1.5,0.0%
57,2015,Mike Tolbert (FA),62,256,4.1,29,1,1,18,23,154,8.6,3,0,16,65.0,4.1,0.0%
100,2014,Mike Tolbert (FA),37,78,2.1,15,0,0,12,17,93,7.8,0,0,8,17.1,2.1,0.0%
39,2013,Mike Tolbert (FA),101,361,3.6,22,2,5,27,32,184,6.8,2,0,16,96.5,6.0,0.0%
37,2012,Mike Tolbert (FA),54,183,3.4,13,0,7,27,39,268,9.9,0,0,16,87.1,5.4,0.0%
22,2011,Mike Tolbert (FA),121,490,4.0,40,0,8,54,79,433,8.0,2,1,15,150.3,10.0,0.0%
20,2010,Mike Tolbert (FA),182,735,4.0,36,0,11,25,29,216,8.6,0,3,15,155.1,10.3,0.0%
59,2009,Mike Tolbert (FA),25,148,5.9,32,0,1,17,22,192,11.3,3,0,16,58.0,3.6,0.0%
77,2008,Mike Tolbert (FA),13,37,2.8,11,0,0,13,3,171,13.2,1,0,13,26.8,2.1,0.0%
