Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
43,2019,Delanie Walker (FA),21,31,215,10.2,29,1,2,0,0,0,0,7,33.5,4.8,0.1%
92,2018,Delanie Walker (FA),4,7,52,13.0,16,0,0,0,0,0,0,1,5.2,5.2,0.1%
7,2017,Delanie Walker (FA),74,111,807,10.9,42,9,3,2,-2,1,2,16,100.5,6.3,0.1%
5,2016,Delanie Walker (FA),65,102,800,12.3,47,13,7,2,11,0,0,15,123.1,8.2,0.1%
5,2015,Delanie Walker (FA),94,133,"1,088",11.6,61,13,6,1,36,0,0,15,150.4,10.0,0.1%
8,2014,Delanie Walker (FA),63,106,890,14.1,68,13,4,0,0,0,0,15,113.0,7.5,0.1%
12,2013,Delanie Walker (FA),60,86,571,9.5,33,5,6,0,0,0,0,15,93.1,6.2,0.1%
34,2012,Delanie Walker (FA),21,39,344,16.4,45,9,3,0,0,0,1,16,50.4,3.2,0.1%
39,2011,Delanie Walker (FA),19,35,198,10.4,29,0,3,3,5,0,0,15,38.3,2.6,0.1%
40,2010,Delanie Walker (FA),29,45,331,11.4,38,0,0,3,18,0,1,14,32.9,2.4,0.1%
50,2009,Delanie Walker (FA),21,33,233,11.1,39,0,0,3,34,0,2,16,22.7,1.4,0.1%
44,2008,Delanie Walker (FA),10,4,155,15.5,53,0,1,2,-13,0,0,15,20.2,1.3,0.1%
32,2007,Delanie Walker (FA),21,1,174,8.3,26,0,1,0,0,0,0,16,23.4,1.5,0.1%
89,2006,Delanie Walker (FA),2,0,30,15.0,29,0,0,0,0,0,0,7,3.0,0.4,0.1%
