Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
61,2020,Jason Witten (FA),13,17,69,5.3,15,0,2,0,0,0,0,16,18.9,1.2,0.0%
12,2019,Jason Witten (FA),63,83,529,8.4,33,3,4,0,0,0,1,16,76.9,4.8,0.0%
10,2017,Jason Witten (FA),63,87,560,8.9,28,3,5,0,0,0,1,16,84.0,5.3,0.0%
14,2016,Jason Witten (FA),69,95,673,9.8,35,7,3,0,0,0,1,16,83.3,5.2,0.0%
12,2015,Jason Witten (FA),77,104,713,9.3,35,4,3,0,0,0,1,16,87.3,5.5,0.0%
10,2014,Jason Witten (FA),64,90,703,11.0,34,7,5,0,0,0,0,16,100.3,6.3,0.0%
6,2013,Jason Witten (FA),73,111,851,11.7,34,13,8,0,0,0,0,16,133.1,8.3,0.0%
5,2012,Jason Witten (FA),110,149,"1,039",9.4,36,8,3,0,0,0,0,16,121.9,7.6,0.0%
7,2011,Jason Witten (FA),79,117,942,11.9,64,0,5,0,0,0,0,16,124.2,7.8,0.0%
1,2010,Jason Witten (FA),94,128,"1,002",10.7,33,0,9,0,0,0,1,16,154.2,9.6,0.0%
8,2009,Jason Witten (FA),94,124,"1,030",11.0,69,0,2,0,0,0,0,16,115.0,7.2,0.0%
2,2008,Jason Witten (FA),81,0,952,11.8,42,0,4,0,0,0,0,16,120.9,7.6,0.0%
1,2007,Jason Witten (FA),96,0,"1,145",11.9,53,0,7,0,0,0,0,16,156.5,9.8,0.0%
12,2006,Jason Witten (FA),64,0,754,11.8,42,0,1,0,0,0,0,16,81.4,5.1,0.0%
7,2005,Jason Witten (FA),66,14,757,11.5,34,0,6,0,0,0,0,16,111.7,7.0,0.0%
4,2004,Jason Witten (FA),87,122,980,11.3,42,0,6,0,0,0,1,16,134.0,8.4,0.0%
24,2003,Jason Witten (FA),35,54,347,9.9,36,0,1,0,0,0,0,15,40.7,2.7,0.0%
