Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
137,2019,Jermaine Gresham (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
86,2018,Jermaine Gresham (FA),9,12,94,10.4,26,1,0,0,0,0,1,13,7.4,0.6,0.0%
30,2017,Jermaine Gresham (FA),33,46,322,9.8,21,3,2,0,0,0,0,14,44.2,3.2,0.0%
31,2016,Jermaine Gresham (FA),37,61,391,10.6,34,4,2,0,0,0,0,16,51.1,3.2,0.0%
44,2015,Jermaine Gresham (FA),18,32,223,12.4,22,3,1,0,0,0,0,15,28.3,1.9,0.0%
18,2014,Jermaine Gresham (FA),62,79,460,7.4,23,2,5,0,0,0,0,15,76.0,5.1,0.0%
26,2013,Jermaine Gresham (FA),46,67,458,10.0,30,6,4,0,0,0,3,14,63.8,4.6,0.0%
11,2012,Jermaine Gresham (FA),64,94,737,11.5,55,8,5,0,0,0,1,16,101.7,6.4,0.0%
14,2011,Jermaine Gresham (FA),56,92,596,10.6,31,0,6,0,0,0,1,14,93.6,6.7,0.0%
22,2010,Jermaine Gresham (FA),52,83,471,9.1,27,0,4,0,0,0,1,15,71.1,4.7,0.0%
