Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
58,2021,Marcedes Lewis (GB),23,28,214,9.3,23,3,0,0,0,0,0,13,21.4,1.6,0.1%
51,2020,Marcedes Lewis (GB),10,17,107,10.7,36,2,3,0,0,0,0,15,28.7,1.9,0.1%
52,2019,Marcedes Lewis (GB),15,19,156,10.4,25,2,1,0,0,0,0,16,21.6,1.4,0.1%
100,2018,Marcedes Lewis (GB),3,4,39,13.0,30,2,0,0,0,0,0,16,3.9,0.2,0.1%
20,2017,Marcedes Lewis (GB),24,48,318,13.3,37,5,5,0,0,0,0,16,63.8,4.0,0.1%
49,2016,Marcedes Lewis (GB),20,30,169,8.5,37,1,1,0,0,0,0,10,22.9,2.3,0.1%
52,2015,Marcedes Lewis (GB),16,37,226,14.1,45,4,0,0,0,0,0,16,22.6,1.4,0.1%
42,2014,Marcedes Lewis (GB),18,31,206,11.4,63,3,2,0,0,0,0,8,32.6,4.1,0.1%
28,2013,Marcedes Lewis (GB),25,47,359,14.4,41,7,4,0,0,0,1,11,57.9,5.3,0.1%
17,2012,Marcedes Lewis (GB),52,77,540,10.4,26,9,4,0,0,0,0,16,78.0,4.9,0.1%
33,2011,Marcedes Lewis (GB),39,85,460,11.8,62,1,0,0,0,0,0,15,46.0,3.1,0.1%
4,2010,Marcedes Lewis (GB),58,89,700,12.1,42,0,10,0,0,0,2,16,126.0,7.9,0.1%
21,2009,Marcedes Lewis (GB),32,59,518,16.2,47,0,2,0,0,0,0,15,63.8,4.3,0.1%
17,2008,Marcedes Lewis (GB),41,8,489,11.9,30,0,2,0,0,0,0,16,60.9,3.8,0.1%
17,2007,Marcedes Lewis (GB),37,0,391,10.6,25,0,2,0,0,0,0,16,51.1,3.2,0.1%
49,2006,Marcedes Lewis (GB),13,0,126,9.7,31,0,1,0,0,0,0,13,18.6,1.4,0.1%
