Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
81,2012,Randy McMichael (FA),9,13,51,5.7,13,0,0,0,0,0,0,11,5.1,0.5,0.0%
44,2011,Randy McMichael (FA),30,44,271,9.0,30,0,0,0,0,0,0,15,27.1,1.8,0.0%
38,2010,Randy McMichael (FA),20,27,221,11.1,28,0,2,0,0,0,0,15,34.1,2.3,0.0%
33,2009,Randy McMichael (FA),34,62,332,9.8,35,0,1,0,0,0,0,16,39.2,2.5,0.0%
22,2007,Randy McMichael (FA),19,0,248,13.1,29,0,1,0,0,0,0,8,30.8,3.9,0.0%
11,2006,Randy McMichael (FA),62,0,640,10.3,24,0,3,0,0,0,0,16,82.0,5.1,0.0%
10,2005,Randy McMichael (FA),60,0,582,9.7,30,0,5,0,0,0,0,16,88.2,5.5,0.0%
6,2004,Randy McMichael (FA),73,118,791,10.8,42,0,4,0,0,0,0,16,105.1,6.6,0.0%
7,2003,Randy McMichael (FA),49,83,598,12.2,46,0,2,0,0,0,0,16,71.8,4.5,0.0%
10,2002,Randy McMichael (FA),39,68,485,12.4,45,0,4,1,8,0,1,16,71.3,4.5,0.0%
