Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
111,2013,Visanthe Shiancoe (FA),2,2,2,1.0,3,0,0,0,0,0,0,1,0.2,0.2,0.0%
128,2012,Visanthe Shiancoe (FA),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
27,2011,Visanthe Shiancoe (FA),36,71,409,11.4,37,0,3,0,0,0,0,16,58.9,3.7,0.0%
25,2010,Visanthe Shiancoe (FA),47,79,530,11.3,33,0,2,0,0,0,0,16,65.0,4.1,0.0%
6,2009,Visanthe Shiancoe (FA),56,79,566,10.1,27,0,11,0,0,0,0,16,122.6,7.7,0.0%
10,2008,Visanthe Shiancoe (FA),32,0,467,14.6,40,0,6,0,0,0,0,12,82.7,6.9,0.0%
33,2007,Visanthe Shiancoe (FA),16,12,171,10.7,25,0,1,0,0,0,0,6,23.1,3.9,0.0%
71,2006,Visanthe Shiancoe (FA),12,0,81,6.8,16,0,0,0,0,0,0,10,8.1,0.8,0.0%
61,2005,Visanthe Shiancoe (FA),8,2,91,11.4,17,0,0,0,0,0,0,7,9.1,1.3,0.0%
71,2004,Visanthe Shiancoe (FA),5,7,25,5.0,9,0,1,0,0,0,0,8,8.5,1.1,0.0%
51,2003,Visanthe Shiancoe (FA),10,23,56,5.6,10,0,2,0,0,0,0,9,17.6,2.0,0.0%
