Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
58,2021,Cole Beasley (FA),82,112,693,8.5,29,5,1,0,0,0,0,16,77.3,4.8,0.2%
31,2020,Cole Beasley (FA),82,107,967,11.8,35,17,4,0,0,0,0,15,125.5,8.4,0.2%
35,2019,Cole Beasley (FA),67,106,778,11.6,51,14,6,0,0,0,0,15,117.8,7.9,0.2%
53,2018,Cole Beasley (FA),65,87,672,10.3,32,4,3,0,0,0,0,16,85.2,5.3,0.2%
71,2017,Cole Beasley (FA),36,63,314,8.7,54,2,4,0,0,0,0,15,55.4,3.7,0.2%
39,2016,Cole Beasley (FA),75,98,833,11.1,47,6,5,1,7,0,0,16,114.0,7.1,0.2%
56,2015,Cole Beasley (FA),52,75,536,10.3,30,7,5,0,0,0,2,16,79.6,5.0,0.2%
76,2014,Cole Beasley (FA),37,49,420,11.4,45,4,4,0,0,0,2,16,62.0,3.9,0.2%
93,2013,Cole Beasley (FA),39,54,368,9.4,23,2,2,0,0,0,0,14,48.8,3.5,0.2%
139,2012,Cole Beasley (FA),15,24,128,8.5,20,1,0,0,0,0,0,10,12.8,1.3,0.2%
