Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
245,2019,Darrius Heyward-Bey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
205,2018,Darrius Heyward-Bey (FA),1,2,9,9.0,9,0,0,1,-7,0,0,14,0.2,0.0,0.0%
135,2017,Darrius Heyward-Bey (FA),2,3,47,23.5,44,1,0,2,32,1,0,16,13.9,0.9,0.0%
104,2016,Darrius Heyward-Bey (FA),6,19,114,19.0,46,2,2,1,60,1,0,10,35.4,3.5,0.0%
93,2015,Darrius Heyward-Bey (FA),21,39,314,15.0,66,5,2,0,0,0,0,16,43.4,2.7,0.0%
176,2014,Darrius Heyward-Bey (FA),3,5,33,11.0,17,0,0,0,0,0,1,16,1.3,0.1,0.0%
101,2013,Darrius Heyward-Bey (FA),29,64,309,10.7,27,2,1,3,26,0,0,16,41.5,2.6,0.0%
49,2012,Darrius Heyward-Bey (FA),41,80,606,14.8,59,8,5,2,16,0,0,15,92.2,6.1,0.0%
29,2011,Darrius Heyward-Bey (FA),64,115,975,15.2,58,0,4,0,0,0,1,15,119.5,8.0,0.0%
86,2010,Darrius Heyward-Bey (FA),26,65,366,14.1,69,0,1,4,48,0,1,15,45.4,3.0,0.0%
111,2009,Darrius Heyward-Bey (FA),9,40,124,13.8,24,0,1,2,19,0,0,11,20.3,1.8,0.0%
