Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
220,2016,Devin Hester (FA),0,0,0,0,0,0,0,0,0,0,1,12,-2.0,-0.2,0.4%
208,2015,Devin Hester (FA),0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.4%
64,2014,Devin Hester (FA),38,59,504,13.3,46,7,2,6,36,1,1,16,70.0,4.4,0.4%
212,2013,Devin Hester (FA),0,0,0,0,0,0,0,0,0,0,1,16,-2.0,-0.1,0.4%
107,2012,Devin Hester (FA),23,40,242,10.5,39,4,1,3,6,0,0,15,30.8,2.1,0.4%
93,2011,Devin Hester (FA),26,56,369,14.2,53,0,1,1,-6,0,0,16,42.3,2.6,0.4%
63,2010,Devin Hester (FA),40,73,475,11.9,39,0,4,7,30,0,0,16,74.5,4.7,0.4%
44,2009,Devin Hester (FA),57,91,757,13.3,48,0,3,6,-1,0,1,13,91.6,7.0,0.4%
36,2008,Devin Hester (FA),51,6,665,13.0,65,0,3,6,61,0,0,15,90.6,6.0,0.4%
62,2007,Devin Hester (FA),20,0,299,15.0,81,0,2,7,-10,0,0,16,40.9,2.6,0.4%
179,2006,Devin Hester (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.4%
