Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
193,2017,Eric Weems (FA),1,2,5,5.0,5,0,0,1,0,0,0,16,0.5,0.0,0.0%
199,2016,Eric Weems (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
185,2015,Eric Weems (FA),1,1,11,11.0,11,0,0,1,4,0,0,16,1.5,0.1,0.0%
118,2014,Eric Weems (FA),10,11,102,10.2,40,1,2,0,0,0,0,16,22.2,1.4,0.0%
181,2013,Eric Weems (FA),1,2,8,8.0,8,0,0,0,0,0,0,16,0.8,0.1,0.0%
175,2012,Eric Weems (FA),2,4,27,13.5,18,0,0,0,0,0,0,16,2.7,0.2,0.0%
143,2011,Eric Weems (FA),11,14,90,8.2,18,0,0,0,0,0,0,16,9.0,0.6,0.0%
150,2010,Eric Weems (FA),6,6,61,10.2,18,0,0,0,0,0,0,16,6.1,0.4,0.0%
114,2009,Eric Weems (FA),6,6,50,8.3,30,0,2,8,53,0,2,16,18.3,1.1,0.0%
154,2008,Eric Weems (FA),1,0,4,4.0,4,0,0,0,0,0,0,6,0.4,0.1,0.0%
164,2007,Eric Weems (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
