Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
93,2020,Golden Tate (FA),35,52,388,11.1,39,8,2,0,0,0,0,12,51.5,4.3,0.0%
41,2019,Golden Tate (FA),49,85,676,13.8,64,21,6,1,16,0,1,11,103.2,9.4,0.0%
34,2018,Golden Tate (FA),74,113,795,10.7,67,17,4,4,34,0,0,15,108.9,7.3,0.0%
19,2017,Golden Tate (FA),92,120,"1,003",10.9,71,10,5,5,22,0,1,16,132.5,8.3,0.0%
23,2016,Golden Tate (FA),91,135,"1,077",11.8,67,13,4,10,4,0,1,16,132.1,8.3,0.0%
34,2015,Golden Tate (FA),90,128,813,9.0,43,7,6,6,41,0,1,16,119.4,7.5,0.0%
13,2014,Golden Tate (FA),99,144,"1,331",13.4,73,17,4,5,30,0,0,16,160.1,10.0,0.0%
29,2013,Golden Tate (FA),64,98,898,14.0,80,12,5,3,31,0,0,16,122.9,7.7,0.0%
32,2012,Golden Tate (FA),45,67,688,15.3,51,12,7,3,20,0,1,15,115.7,7.7,0.0%
74,2011,Golden Tate (FA),35,58,382,10.9,33,0,3,5,14,0,0,16,57.6,3.6,0.0%
116,2010,Golden Tate (FA),21,39,227,10.8,52,0,0,2,4,0,0,11,23.1,2.1,0.0%
