Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
86,2011,Hines Ward (FA),46,63,381,8.3,31,0,2,0,0,0,1,14,48.1,3.4,0.0%
39,2010,Hines Ward (FA),59,94,755,12.8,43,0,5,1,-2,0,1,16,103.3,6.5,0.0%
16,2009,Hines Ward (FA),95,137,"1,167",12.3,54,0,6,0,0,0,1,16,150.7,9.4,0.0%
28,2008,Hines Ward (FA),64,8,817,12.8,41,0,4,1,4,0,0,12,106.1,8.8,0.0%
53,2007,Hines Ward (FA),28,0,302,10.8,24,0,3,1,7,0,0,6,48.9,8.2,0.0%
21,2006,Hines Ward (FA),74,0,975,13.2,70,0,6,2,30,0,0,14,136.5,9.8,0.0%
10,2005,Hines Ward (FA),69,11,975,14.1,85,0,11,3,10,0,0,15,164.5,11.0,0.0%
26,2004,Hines Ward (FA),80,108,"1,004",12.6,58,0,4,7,25,1,0,16,132.9,8.3,0.0%
5,2003,Hines Ward (FA),95,156,"1,163",12.2,50,0,10,11,61,0,0,16,182.4,11.4,0.0%
2,2002,Hines Ward (FA),112,161,"1,329",11.9,72,0,12,12,142,0,1,16,223.1,13.9,0.0%
