Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
66,2015,Jerricho Cotchery (FA),39,54,485,12.4,59,6,3,1,16,0,0,14,68.1,4.9,0.0%
70,2014,Jerricho Cotchery (FA),48,78,580,12.1,47,7,1,0,0,0,0,15,66.0,4.4,0.0%
32,2013,Jerricho Cotchery (FA),46,76,602,13.1,36,9,10,1,-5,0,0,16,119.7,7.5,0.0%
128,2012,Jerricho Cotchery (FA),17,27,205,12.1,24,4,0,0,0,0,0,14,20.5,1.5,0.0%
101,2011,Jerricho Cotchery (FA),16,30,237,14.8,36,0,2,1,3,0,0,13,36.0,2.8,0.0%
80,2010,Jerricho Cotchery (FA),41,86,433,10.6,49,0,2,4,-3,0,0,14,55.0,3.9,0.0%
33,2009,Jerricho Cotchery (FA),57,96,821,14.4,53,0,3,2,7,1,0,14,106.8,7.6,0.0%
21,2008,Jerricho Cotchery (FA),71,13,858,12.1,56,0,5,2,8,0,0,16,118.6,7.4,0.0%
16,2007,Jerricho Cotchery (FA),82,8,"1,130",13.8,50,0,2,5,38,0,0,15,128.8,8.6,0.0%
22,2006,Jerricho Cotchery (FA),82,0,961,11.7,71,0,6,5,25,0,0,16,134.6,8.4,0.0%
102,2005,Jerricho Cotchery (FA),19,0,251,13.2,45,0,0,1,4,0,0,16,25.5,1.6,0.0%
137,2004,Jerricho Cotchery (FA),6,11,60,10.0,18,0,0,0,0,0,0,11,6.0,0.5,0.0%
