Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
180,2014,Josh Cribbs (FA),1,1,8,8.0,8,0,0,0,0,0,0,6,0.8,0.1,0.0%
151,2013,Josh Cribbs (FA),2,2,6,3.0,5,0,0,13,55,0,0,6,7.6,1.3,0.0%
164,2012,Josh Cribbs (FA),7,12,63,9.0,24,1,0,6,42,0,3,16,4.5,0.3,0.0%
58,2011,Josh Cribbs (FA),41,67,518,12.6,45,0,4,7,25,0,1,16,76.3,4.8,0.0%
90,2010,Josh Cribbs (FA),23,39,292,12.7,65,0,1,20,66,0,0,15,42.6,2.8,0.0%
72,2009,Josh Cribbs (FA),20,37,135,6.8,35,0,1,55,381,1,2,16,58.3,3.6,0.0%
90,2008,Josh Cribbs (FA),2,1,18,9.0,17,0,1,29,167,1,0,15,30.8,2.1,0.0%
107,2007,Josh Cribbs (FA),3,0,37,12.3,18,0,0,9,61,0,0,16,9.8,0.6,0.0%
120,2006,Josh Cribbs (FA),10,0,91,9.1,14,0,0,2,11,0,0,16,10.2,0.6,0.0%
160,2005,Josh Cribbs (FA),1,0,7,7.0,7,0,0,0,0,0,0,14,0.7,0.1,0.0%
