Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
353,2021,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
236,2020,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
251,2019,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
213,2018,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
201,2017,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0%
216,2016,Matthew Slater (NE),0,1,0,0,0,0,0,1,5,0,1,13,-1.5,-0.1,0.0%
207,2015,Matthew Slater (NE),0,1,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
205,2014,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
194,2013,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%
199,2012,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
165,2011,Matthew Slater (NE),1,3,46,46.0,46,0,0,0,0,0,1,16,2.6,0.2,0.0%
190,2010,Matthew Slater (NE),0,1,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
153,2009,Matthew Slater (NE),0,0,0,0,0,0,0,1,6,0,0,14,0.6,0.0,0.0%
170,2008,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,1,14,-2.0,-0.1,0.0%
