Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
250,2019,Mike Wallace (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
214,2018,Mike Wallace (FA),0,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
38,2017,Mike Wallace (FA),52,92,748,14.4,66,11,4,1,4,0,0,15,99.2,6.6,0.0%
24,2016,Mike Wallace (FA),72,116,"1,017",14.1,95,10,4,5,31,0,0,16,130.8,8.2,0.0%
75,2015,Mike Wallace (FA),39,72,473,12.1,34,6,2,1,6,0,0,16,59.9,3.7,0.0%
18,2014,Mike Wallace (FA),67,115,862,12.9,50,10,10,4,16,0,1,16,145.8,9.1,0.0%
26,2013,Mike Wallace (FA),73,141,930,12.7,57,11,5,3,33,0,0,16,126.3,7.9,0.0%
25,2012,Mike Wallace (FA),64,119,836,13.1,82,9,8,5,7,0,1,15,130.3,8.7,0.0%
9,2011,Mike Wallace (FA),72,113,"1,193",16.6,95,2,8,5,57,0,1,16,171.0,10.7,0.0%
5,2010,Mike Wallace (FA),60,98,"1,257",21.0,56,0,10,5,39,0,0,16,189.6,11.9,0.0%
28,2009,Mike Wallace (FA),39,72,756,19.4,60,0,6,5,48,0,1,16,114.4,7.2,0.0%
