Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
249,2019,Pierre Garcon (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
110,2018,Pierre Garcon (FA),24,46,286,11.9,25,5,1,0,0,0,0,8,34.6,4.3,0.0%
78,2017,Pierre Garcon (FA),40,67,500,12.5,59,6,0,0,0,0,0,8,50.0,6.3,0.0%
32,2016,Pierre Garcon (FA),79,114,"1,041",13.2,70,15,3,0,0,0,0,16,122.1,7.6,0.0%
36,2015,Pierre Garcon (FA),72,111,777,10.8,39,7,6,0,0,0,0,16,113.7,7.1,0.0%
54,2014,Pierre Garcon (FA),68,105,752,11.1,70,8,3,0,0,0,0,16,93.2,5.8,0.0%
13,2013,Pierre Garcon (FA),113,181,"1,346",11.9,53,16,5,2,19,0,1,16,164.5,10.3,0.0%
53,2012,Pierre Garcon (FA),44,67,633,14.4,88,10,4,2,9,0,0,10,88.2,8.8,0.0%
23,2011,Pierre Garcon (FA),70,134,947,13.5,87,0,6,4,28,0,2,16,129.5,8.1,0.0%
30,2010,Pierre Garcon (FA),67,119,784,11.7,57,0,6,2,6,0,0,14,115.0,8.2,0.0%
36,2009,Pierre Garcon (FA),47,92,765,16.3,66,0,4,2,10,0,0,14,101.5,7.3,0.0%
142,2008,Pierre Garcon (FA),4,0,23,5.8,12,0,0,0,0,0,0,14,2.3,0.2,0.0%
